ligand	receptor
A2m	Lrp1
Aanat	Mtnr1a
Aanat	Mtnr1b
Ace	Agtr2
Ace	Bdkrb2
Ada	Adora1
Ada	Adora2b
Ada	Dpp4
Adam10	Axl
Adam10	Cadm1
Adam10	Epha3
Adam10	Erbb2
Adam10	Fcer2a
Adam10	Gpnmb
Adam10	Il6ra
Adam10	Itgav
Adam10	Lrp1
Adam10	Notch1
Adam10	Notch3
Adam10	Tspan10
Adam10	Tspan14
Adam10	Tspan15
Adam10	Tspan17
Adam10	Tspan5
Adam12	Epha1
Adam12	Itga9
Adam12	Itgb1
Adam12	Sdc4
Adam12	Tgfbr2
Adam15	Itga5
Adam15	Itga9
Adam15	Itgav
Adam15	Itgb1
Adam15	Itgb3
Adam17	Aplp2
Adam17	Cd40
Adam17	Cd9
Adam17	Erbb4
Adam17	Ghr
Adam17	Itga5
Adam17	Itga6
Adam17	Itgb1
Adam17	Itgb6
Adam17	Nectin4
Adam17	Notch1
Adam17	Notch2
Adam17	Rhbdf2
Adam17	Tnfrsf1a
Adam17	Tnfrsf1b
Adam23	Itga5
Adam23	Itgb3
Adam28	Itga4
Adam2	Cd9
Adam2	Itga6
Adam2	Itga9
Adam2	Itgb1
Adam2	Itgb7
Adam3	Cd9
Adam9	Itga3
Adam9	Itga6
Adam9	Itgav
Adam9	Itgb1
Adam9	Itgb5
Adamts3	Ccbe1
Adcyap1	Adcyap1r1
Adcyap1	Adrb3
Adcyap1	Dpp4
Adcyap1	Ramp2
Adcyap1	Ramp3
Adcyap1	Sctr
Adcyap1	Vipr1
Adcyap1	Vipr2
Adgre5	Cd55b
Adipoq	Adipor1
Adipoq	Adipor2
Adm2	Calcr
Adm2	Calcrl
Adm2	Ramp1
Adm2	Ramp3
Adm	Calcr
Adm	Calcrl
Adm	Gpr182
Adm	Mrgprb1
Adm	Mrgprx2
Adm	Ramp2
Afdn	Nectin1
Afdn	Nectin2
Afdn	Nectin3
Afdn	Nectin4
Afdn	Nrxn3
Agrn	Atp1a3
Agrn	Dag1
Agrn	Lrp4
Agrn	Musk
Agrp	Mc3r
Agrp	Mc4r
Agrp	Mc5r
Agrp	Sdc3
Agt	Agtr1a
Agt	Agtr1b
Agt	Agtr2
Agt	Lrp2
Agt	Mas1
Agtrap	Rack1
Ahsg	Insr
Alb	Lrp2
Alcam	Cd6
Alkal1	Alk
Alkal2	Alk
Alox5ap	Alox5
Amelx	Cd63
Amelx	Lamp1
Amh	Acvr1
Amh	Amhr2
Amh	Bmpr1a
Amh	Egfr
Ang	Egfr
Angpt1	Itga5
Angpt1	Tek
Angpt1	Tie1
Angpt2	Itga5
Angpt2	Itgav
Angpt2	Itgb1
Angpt2	Itgb2
Angpt2	Tek
Angpt4	Tek
Angptl1	Itga1
Angptl1	Itgb1
Angptl1	Pirb
Angptl1	Tek
Angptl2	Itga5
Angptl2	Itgb1
Angptl2	Pirb
Angptl2	Tlr4
Angptl3	Itga5
Angptl3	Itgav
Angptl3	Itgb3
Angptl4	Cdh11
Angptl4	Cdh5
Angptl4	Gpihbp1
Angptl4	Itga5
Angptl4	Itgav
Angptl4	Itgb1
Angptl4	Itgb3
Angptl4	Sdc1
Angptl4	Sdc2
Angptl4	Sdc3
Angptl4	Sdc4
Angptl7	Pirb
Angptl8	Gpihbp1
Anxa1	Dysf
Anxa1	Egfr
Anxa1	Fpr1
Anxa1	Fpr2
Anxa1	Fpr3
Anxa2	Cd44
Apela	Aplnr
Apln	Aplnr
Apoa1	Abca1
Apoa1	Lrp2
Apob	Apobr
Apob	Cd36
Apob	Ldlr
Apob	Lrp1
Apob	Lrp2
Apob	Lrp6
Apob	Lsr
Apob	Mttp
Apob	Olr1
Apob	Scarb1
Apob	Tlr4
Apoc1	Vldlr
Apoc3	Gpihbp1
Apoc3	Ldlr
Apoc3	Lrp1
Apod	Lepr
Apoe	Abca1
Apoe	Ldlr
Apoe	Lrp1
Apoe	Lrp2
Apoe	Lrp5
Apoe	Lrp6
Apoe	Lrp8
Apoe	Scarb1
Apoe	Sdc1
Apoe	Sdc4
Apoe	Sorl1
Apoe	Trem2
Apoe	Vldlr
Apom	Lrp2
App	Adra2a
App	Casr
App	Cav1
App	Cd47
App	Cd74
App	Dcc
App	Drd3
App	Fpr2
App	Gpc1
App	Gpr3
App	Lrp1
App	Lrp10
App	Lrp2
App	Lrp4
App	Lrp6
App	Lrp8
App	Ncstn
App	Ngfr
App	Notch1
App	Notch2
App	Sorcs1
App	Sorl1
App	Tnfrsf21
App	Trpc6
App	Tspan12
App	Tspan15
App	Vldlr
Areg	Egfr
Areg	Erbb2
Areg	Erbb3
Areg	Erbb4
Areg	Igf1r
Arf1	Chrm3
Arf1	Insr
Arf1	Pld2
Arf4	Lrp2
Arf6	Pld1
Artn	Gfra1
Artn	Gfra2
Artn	Gfra3
Artn	Ret
Artn	Sdc3
Avp	Avpr1a
Avp	Avpr1b
Avp	Avpr2
Avp	Oxtr
Azgp1	Itgav
B2m	H2-T27
B2m	H2-T25
B2m	Hfe
Bag6	Ncr3-ps
Bdnf	Bex3
Bdnf	Insrr
Bdnf	Ngfr
Bdnf	Ntrk1
Bdnf	Ntrk2
Bdnf	Ntrk3
Bdnf	Sorcs2
Bdnf	Sort1
Bgn	Cd44
Bgn	P2rx4
Bgn	P2rx7
Bgn	Tlr2
Bgn	Tlr4
Bmp10	Acvr1
Bmp10	Acvr2a
Bmp10	Acvrl1
Bmp10	Alk
Bmp10	Bmpr1a
Bmp10	Bmpr1b
Bmp10	Bmpr2
Bmp10	Eng
Bmp10	Tgfbr1
Bmp15	Acvr1b
Bmp15	Acvr1c
Bmp15	Acvr2a
Bmp15	Bmpr1a
Bmp15	Bmpr1b
Bmp15	Bmpr2
Bmp15	Tgfbr1
Bmp2	Acvr1
Bmp2	Acvr2a
Bmp2	Acvr2b
Bmp2	Bmpr1a
Bmp2	Bmpr1b
Bmp2	Bmpr2
Bmp2	Eng
Bmp2	Hjv
Bmp2	Tgfbr3
Bmp3	Acvr2a
Bmp3	Acvr2b
Bmp4	Acvr2a
Bmp4	Acvr2b
Bmp4	Bmpr1a
Bmp4	Bmpr1b
Bmp4	Bmpr2
Bmp4	Hjv
Bmp4	Musk
Bmp5	Acvr1
Bmp5	Acvr2a
Bmp5	Acvr2b
Bmp5	Bmpr1a
Bmp5	Bmpr1b
Bmp5	Bmpr2
Bmp6	Acvr1
Bmp6	Acvr2a
Bmp6	Acvr2b
Bmp6	Bmpr1a
Bmp6	Bmpr1b
Bmp6	Bmpr2
Bmp6	Hjv
Bmp7	Acvr1
Bmp7	Acvr2a
Bmp7	Acvr2b
Bmp7	Acvrl1
Bmp7	Bmpr1a
Bmp7	Bmpr1b
Bmp7	Bmpr2
Bmp7	Eng
Bmp8a	Acvr1
Bmp8a	Acvr2a
Bmp8a	Acvr2b
Bmp8a	Bmpr1a
Bmp8a	Bmpr1b
Bmp8a	Bmpr2
Bmp8a	Tgfbr1
Bmp8a	Tgfbr2
Bmp8b	Acvr1
Bmp8b	Acvr2a
Bmp8b	Acvr2b
